X,Y,Z
-83.2291,17.6156,-16.2168
-84.163,16.7701,-25.9803
-82.7865,18.6223,-32.8175
-86.7539,14.4121,-36.5152
-87.3517,12.5543,-39.7463
-88.6457,17.6686,-16.5594
-88.9466,19.2726,-20.6111
-89.8006,19.0825,-27.309
-89.3631,17.1711,-33.3597
-88.4371,15.5146,-34.9226
-90.2811,14.2956,-41.1686
-92.68,12.891,-44.3471
-92.3554,19.8003,-21.7097
-90.0465,19.8221,-27.6084
-96.3554,20.1865,-27.1423
-97.325,21.0082,-30.236
-99.1249,22.0281,-32.2985
-101.321,20.6022,-36.3685
-105.278,21.9713,-36.645
-103.524,19.879,-37.658
